name,order,family,scientific_name,conservation_status,nz_status,url,other_names
New Zealand king shag | Kawau pāteketeke,Suliformes,Phalacrocoracidae,Leucocarbo carunculatus,Nationally Endangered,Endemic,http://nzbirdsonline.org.nz/species/new-zealand-king-shag,"king shag, kawau, New Zealand king cormorant, rough-faced shag, carunculated shag, Marlborough Sounds shag, Cook Strait cormorant, kawau pateketeke"
Chatham Island shag | Papua,Suliformes,Phalacrocoracidae,Leucocarbo onslowi,Nationally Vulnerable,Endemic,http://nzbirdsonline.org.nz/species/chatham-island-shag,"Chatham Island cormorant, Chatham shag"
Otago shag | Matapo,Suliformes,Phalacrocoracidae,Leucocarbo chalconotus,Recovering,Endemic,http://nzbirdsonline.org.nz/species/stewart-island-shag,"bronze shag, kawau, Stewart Island shag, Gray’s shag"
Foveaux shag | Mapo,Suliformes,Phalacrocoracidae,Leucocarbo stewarti,Nationally Vulnerable,Endemic,http://nzbirdsonline.org.nz/species/foveaux-shag,"Stewart Island shag, bronze shag, kawau"
Auckland Island shag | Kawau o Motu Maha,Suliformes,Phalacrocoracidae,Leucocarbo colensoi,Nationally Vulnerable,Endemic,http://nzbirdsonline.org.nz/species/auckland-island-shag,
Campbell Island shag,Suliformes,Phalacrocoracidae,Leucocarbo campbelli,Naturally Uncommon,Endemic,http://nzbirdsonline.org.nz/species/campbell-island-shag,Campbell Island cormorant
Macquarie Island shag,Suliformes,Phalacrocoracidae,Leucocarbo purpurascens,Vagrant,,http://nzbirdsonline.org.nz/species/macquarie-island-shag,Macquarie Island cormorant
Australian pelican | Perikana,Pelecaniformes,Pelecanidae,Pelecanus conspicillatus,Vagrant,Native,http://nzbirdsonline.org.nz/species/australian-pelican,
Cattle egret,Pelecaniformes,Ardeidae,Bubulcus ibis,Migrant,Native,http://nzbirdsonline.org.nz/species/cattle-egret,
Grey heron,Pelecaniformes,Ardeidae,Ardea cinerea,Vagrant,Native,http://nzbirdsonline.org.nz/species/grey-heron,gray heron
Pacific heron,Pelecaniformes,Ardeidae,Ardea pacifica,Vagrant,Native,http://nzbirdsonline.org.nz/species/pacific-heron,"white-necked heron, whitenecked heron, white necked heron"
Kōtuku | White heron,Pelecaniformes,Ardeidae,Ardea alba,Nationally Critical,Native,http://nzbirdsonline.org.nz/species/white-heron,"great egret, great white heron, kotuku, great white egret, eastern great egret"
Plumed egret,Pelecaniformes,Ardeidae,Ardea intermedia,Vagrant,Native,http://nzbirdsonline.org.nz/species/plumed-egret,"intermediate egret, yellow-billed egret, short-billed egret, lesser egret"
White-faced heron | Matuku moana,Pelecaniformes,Ardeidae,Egretta novaehollandiae,Not Threatened,Native,http://nzbirdsonline.org.nz/species/white-faced-heron,"matuku, blue heron, blue crane, whitefaced heron, white faced heron"
Little egret,Pelecaniformes,Ardeidae,Egretta garzetta,Vagrant,Native,http://nzbirdsonline.org.nz/species/little-egret,
Reef heron | Matuku moana,Pelecaniformes,Ardeidae,Egretta sacra,Nationally Endangered,Native,http://nzbirdsonline.org.nz/species/reef-heron,eastern reef egret
Nankeen night heron | Umu kōtuku,Pelecaniformes,Ardeidae,Nycticorax caledonicus,Coloniser,Native,http://nzbirdsonline.org.nz/species/nankeen-night-heron,rufous night heron
Australasian bittern | Matuku-hūrepo,Pelecaniformes,Ardeidae,Botaurus poiciloptilus,Nationally Critical,Native,http://nzbirdsonline.org.nz/species/australasian-bittern,"matuku-hūrepo, matuku-hurepo, boomer, brown bittern"
Little bittern,Pelecaniformes,Ardeidae,Ixobrychus minutus,Vagrant,Native,http://nzbirdsonline.org.nz/species/little-bittern,"minute bittern, leech bittern"
New Zealand little bittern | Kaoriki,Pelecaniformes,Ardeidae,Ixobrychus novaezelandiae,Extinct,Endemic,http://nzbirdsonline.org.nz/species/new-zealand-little-bittern,kaoriki
Glossy ibis,Pelecaniformes,Threskiornithidae,Plegadis falcinellus,Coloniser,Native,http://nzbirdsonline.org.nz/species/glossy-ibis,
White ibis,Pelecaniformes,Threskiornithidae,Threskiornis molucca,Vagrant,Native,http://nzbirdsonline.org.nz/species/white-ibis,Australian white ibis
Straw-necked ibis,Pelecaniformes,Threskiornithidae,Threskiornis spinicollis,Vagrant,Native,http://nzbirdsonline.org.nz/species/straw-necked-ibis,"strawnecked ibis, straw necked ibis"
Royal spoonbill | Kōtuku ngutupapa,Pelecaniformes,Threskiornithidae,Platalea regia,Naturally Uncommon,Native,http://nzbirdsonline.org.nz/species/royal-spoonbill,"kōtuku ngutupapa, kotuku ngutupapa, black-billed spoonbill"
Yellow-billed spoonbill,Pelecaniformes,Threskiornithidae,Platalea flavipes,Vagrant,Native,http://nzbirdsonline.org.nz/species/yellow-billed-spoonbill,"yellowbilled spoonbill, yellow billed spoonbill"
Black kite,Accipitriformes,Accipitridae,Milvus migrans,Vagrant,Native,http://nzbirdsonline.org.nz/species/black-kite,"fork-tailed kite, kite hawk, Kimberley kite"
Swamp harrier | Kāhu,Accipitriformes,Accipitridae,Circus approximans,Not Threatened,Native,http://nzbirdsonline.org.nz/species/swamp-harrier,"Australasian harrier, harrier hawk, hawk, kāhu, kahu"
Eyles' harrier | Kērangi,Accipitriformes,Accipitridae,Circus teauteensis,Extinct,Endemic,http://nzbirdsonline.org.nz/species/eyles-harrier,"Forbes' harrier, New Zealand harrier, giant harrier, Eyles harrier, Forbes harrier, Eyle's harrier, Forbe's harrier, Eyles's harrier, Forbes's harrier"
White-bellied sea eagle,Accipitriformes,Accipitridae,Haliaeetus leucogaster,Vagrant,Native,http://nzbirdsonline.org.nz/species/white-bellied-sea-eagle,"whitebellied sea eagle, white bellied sea eagle"
Haast's eagle,Accipitriformes,Accipitridae,Aquila moorei,Extinct,Endemic,http://nzbirdsonline.org.nz/species/haasts-eagle,"harpagornis, New Zealand eagle, giant eagle, pouakai, hokioi , Haasts eagle"
Barn owl,Strigiformes,Tytonidae,Tyto alba,Coloniser,Native,http://nzbirdsonline.org.nz/species/barn-owl,
Ruru | Morepork,Strigiformes,Strigidae,Ninox novaeseelandiae,Not Threatened,Native,http://nzbirdsonline.org.nz/species/morepork,"ruru, boobook, New Zealand owl"
Laughing owl | Whēkau,Strigiformes,Strigidae,Ninox albifacies,Extinct,Endemic,http://nzbirdsonline.org.nz/species/laughing-owl,"whekau, hakoke"
Little owl | Ruru nohinohi,Strigiformes,Strigidae,Athene noctua,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/little-owl,German owl
Dollarbird,Coraciiformes,Coraciidae,Eurystomus orientalis,Vagrant,Native,http://nzbirdsonline.org.nz/species/dollarbird,eastern broad-billed roller
Laughing kookaburra,Coraciiformes,Halcyonidae,Dacelo novaeguineae,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/laughing-kookaburra,"kookaburra, laughing-jackass"
Sacred kingfisher | Kōtare,Coraciiformes,Halcyonidae,Todiramphus sanctus,Not Threatened,Native,http://nzbirdsonline.org.nz/species/sacred-kingfisher,"New Zealand kingfisher, kotare"
Nankeen kestrel,Falconiformes,Falconidae,Falco cenchroides,Vagrant,Native,http://nzbirdsonline.org.nz/species/nankeen-kestrel,
New Zealand falcon | Kārearea,Falconiformes,Falconidae,Falco novaeseelandiae,Recovering,Endemic,http://nzbirdsonline.org.nz/species/new-zealand-falcon,"bush hawk, sparrow hawk, bush falcon, southern falcon, eastern falcon, quail hawk, karearea"
Kākāpō | Kakapo,Psittaciformes,Strigopidae,Strigops habroptila,Nationally Critical,Endemic,http://nzbirdsonline.org.nz/species/kakapo,"owl-parrot, tarepo, tarapo, night parrot"
Kākā | Kaka,Psittaciformes,Strigopidae,Nestor meridionalis,Recovering,Endemic,http://nzbirdsonline.org.nz/species/kaka,"bush parrot, brown parrot, kawkaw"
Chatham Island kaka,Psittaciformes,Strigopidae,Nestor chathamensis,Extinct,Endemic,http://nzbirdsonline.org.nz/species/chatham-island-kaka,"Chatham parrot, Chatham Island parrot, Chatham kaka"
Kea,Psittaciformes,Strigopidae,Nestor notabilis,Nationally Endangered,Endemic,http://nzbirdsonline.org.nz/species/kea,"mountain parrot, New Zealand mountain parrot"
Sulphur-crested cockatoo,Psittaciformes,Cacatuidae,Cacatua galerita,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/sulphur-crested-cockatoo,"white cockatoo, sulphurcrested cockatoo, sulphur crested cockatoo"
Galah,Psittaciformes,Cacatuidae,Eolophus roseicapilla,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/galah,"rose cockatoo, roseate cockatoo, rose-breasted cockatoo, Willock cockatoo"
Rose-ringed parakeet,Psittaciformes,Psittaculidae,Psittacula krameri,"Introduced, not established","Introduced, not established",http://nzbirdsonline.org.nz/species/rose-ringed-parakeet,"Indian ring-necked parakeet, Indian ringneck parrot"
Eastern rosella | Kākā uhi whero,Psittaciformes,Psittaculidae,Platycercus eximius,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/eastern-rosella,white-cheeked rosella
Red-crowned parakeet | Kākāriki,Psittaciformes,Psittaculidae,Cyanoramphus novaezelandiae,Relict,Endemic,http://nzbirdsonline.org.nz/species/red-crowned-parakeet-k%C4%81k%C4%81riki,"red-headed parakeet, kakariki, kaka-wairiki, kawariki, porete, powhaitere, redcrowned parakeet, red crowned parakeet"
Yellow-crowned parakeet | Kākāriki,Psittaciformes,Psittaculidae,Cyanoramphus auriceps,Declining,Endemic,http://nzbirdsonline.org.nz/species/yellow-crowned-parakeet,"kakariki, yellow crowned parakeet, yellowcrowned parakeet"
Orange-fronted parakeet | Kākāriki karaka,Psittaciformes,Psittaculidae,Cyanoramphus malherbi,Nationally Critical,Endemic,http://nzbirdsonline.org.nz/species/orange-fronted-parakeet,"Malherbe's parakeet, kākāriki, kakariki, kakariki karaka, orangefronted parakeet, orange fronted parakeet"
Forbes' parakeet,Psittaciformes,Psittaculidae,Cyanoramphus forbesi,Nationally Endangered,Endemic,http://nzbirdsonline.org.nz/species/forbes-parakeet,"Chatham Island yellow-crowned parakeet, Forbes parakeet, Forbe's parakeet, Forbes's parakeet"
Antipodes Island parakeet,Psittaciformes,Psittaculidae,Cyanoramphus unicolor,Naturally Uncommon,Endemic,http://nzbirdsonline.org.nz/species/antipodes-island-parakeet,"green parakeet, uniform parakeet"
Reischek's parakeet,Psittaciformes,Psittaculidae,Cyanoramphus hochstetteri,Naturally Uncommon,Endemic,http://nzbirdsonline.org.nz/species/reischeks-parakeet,"Antipodes red-crowned parakeet, Reischeks parakeet"
Rainbow lorikeet,Psittaciformes,Psittaculidae,Trichoglossus haematodus,"Introduced, not established","Introduced, not established",http://nzbirdsonline.org.nz/species/rainbow-lorikeet,"Australian rainbow lorikeet, coconut lorikeet, blue-bellied lorikeet"
Rifleman | Tītitipounamu,Passeriformes,Acanthisittidae,Acanthisitta chloris,Not Threatened,Endemic,http://nzbirdsonline.org.nz/species/rifleman,"tititipounamu, titipounamu"
Bush wren | Mātuhituhi,Passeriformes,Acanthisittidae,Xenicus longipes,Extinct,Endemic,http://nzbirdsonline.org.nz/species/bush-wren,"matuhituhi, mātuhi, matuhi, Tom Thumb bird"
Rock wren | Pīwauwau,Passeriformes,Acanthisittidae,Xenicus gilviventris,Nationally Endangered,Endemic,http://nzbirdsonline.org.nz/species/rock-wren,"New Zealand rock wren, piwauwau, mātuitui, matuitui, South Island wren, tuke"
North Island stout-legged wren,Passeriformes,Acanthisittidae,Xenicus jagmi,Extinct,Endemic,http://nzbirdsonline.org.nz/species/north-island-stout-legged-wren,"North Island stoutlegged wren, North Island stout legged wren"
South Island stout-legged wren,Passeriformes,Acanthisittidae,Xenicus yaldwyni,Extinct,Endemic,http://nzbirdsonline.org.nz/species/south-island-stout-legged-wren,"South Island stoutlegged wren, South Island stout legged wren"
Lyall's wren,Passeriformes,Acanthisittidae,Traversia lyalli,Extinct,Endemic,http://nzbirdsonline.org.nz/species/lyalls-wren,"Stephens Island wren, rock wren, Lyalls wren"
Long-billed wren | Manu paea,Passeriformes,Acanthisittidae,Dendroscansor decurvirostris,Extinct,Endemic,http://nzbirdsonline.org.nz/species/long-billed-wren,"longbilled wren, long billed wren"
Bellbird | Korimako,Passeriformes,Meliphagidae,Anthornis melanura,Not Threatened,Endemic,http://nzbirdsonline.org.nz/species/bellbird,"New Zealand bellbird, makomako, mockie, bell bird"
Chatham Island bellbird,Passeriformes,Meliphagidae,Anthornis melanocephala,Extinct,Endemic,http://nzbirdsonline.org.nz/species/chatham-island-bellbird,
Tūī | Tui,Passeriformes,Meliphagidae,Prosthemadera novaeseelandiae,Not Threatened,Endemic,http://nzbirdsonline.org.nz/species/tui,"parson bird, tūī, kōkō, koko"
Red wattlebird,Passeriformes,Meliphagidae,Anthochaera carunculata,Vagrant,Native,http://nzbirdsonline.org.nz/species/red-wattlebird,
Grey warbler | Riroriro,Passeriformes,Acanthizidae,Gerygone igata,Not Threatened,Endemic,http://nzbirdsonline.org.nz/species/grey-warbler,"rainbird, teetotum, gray warbler, New Zealand gerygone, grey gerygone"
Chatham Island warbler,Passeriformes,Acanthizidae,Gerygone albofrontata,Naturally Uncommon,Endemic,http://nzbirdsonline.org.nz/species/chatham-island-warbler,Chatham gerygone
North Island kokako | Kōkako,Passeriformes,Callaeidae,Callaeas wilsoni,Nationally Increasing,Endemic,http://nzbirdsonline.org.nz/species/north-island-kokako,"blue-wattled crow, hokako, honga, onga, honge, onge, pakara, werewere"
South Island kokako | Kōkā,Passeriformes,Callaeidae,Callaeas cinerea,Data Deficient,Endemic,http://nzbirdsonline.org.nz/species/south-island-kokako,"orange-wattled crow, cinereous wattlebird, koka"
North Island saddleback | Tīeke,Passeriformes,Callaeidae,Philesturnus rufusater,Relict,Endemic,http://nzbirdsonline.org.nz/species/north-island-saddleback,"tieke, tiaki"
South Island saddleback | Tīeke,Passeriformes,Callaeidae,Philesturnus carunculatus,Recovering,Endemic,http://nzbirdsonline.org.nz/species/south-island-saddleback,"tieke, jackbird"
Huia,Passeriformes,Callaeidae,Heteralocha acutirostris,Extinct,Endemic,http://nzbirdsonline.org.nz/species/huia,New Zealand woodpecker
Hihi | Stitchbird,Passeriformes,Notiomystidae,Notiomystis cincta,Nationally Vulnerable,Endemic,http://nzbirdsonline.org.nz/species/stitchbird,
Whitehead | Pōpokotea,Passeriformes,Mohouidae,Mohoua albicilla,Not Threatened,Endemic,http://nzbirdsonline.org.nz/species/whitehead,"pōpokatea, popokatea, popokotea"
Mohua | Yellowhead,Passeriformes,Mohouidae,Mohoua ochrocephala,Declining,Endemic,http://nzbirdsonline.org.nz/species/yellowhead,"bush canary, mohoua"
Brown creeper | Pīpipi,Passeriformes,Mohouidae,Mohoua novaeseelandiae,Not Threatened,Endemic,http://nzbirdsonline.org.nz/species/brown-creeper,"New Zealand creeper, pipipi, New Zealand titmouse"
North Island piopio | Piopio,Passeriformes,Oriolidae,Turnagra tanagra,Extinct,Endemic,http://nzbirdsonline.org.nz/species/north-island-piopio,"North Island thrush, native thrush, New Zealand thrush, piopio-kata , tiotio-kata , korohea"
South Island piopio | Piopio,Passeriformes,Oriolidae,Turnagra capensis,Extinct,Endemic,http://nzbirdsonline.org.nz/species/south-island-piopio,"South Island thrush, native thrush, New Zealand thrush, piopio-kata , tiotio-kata"
Black-faced cuckoo-shrike,Passeriformes,Campephagidae,Coracina novaehollandiae,Vagrant,Native,http://nzbirdsonline.org.nz/species/black-faced-cuckoo-shrike,"shufflewing, blue jay, grey jay, cherry hawk, Australian greybird, black-faced greybird, blue peter, rainbird, stormbird, summerbird, white-vented cuckoo-shrike, large cuckoo-shrike, greater cuckoo-shrike, small-billed cuckoo-shrike, bifcus, blackfaced cuckoo-shrike, black faced cuckoo-shrike"
White-winged triller,Passeriformes,Campephagidae,Lalage tricolor,Vagrant,Native,http://nzbirdsonline.org.nz/species/white-winged-triller,"whitewinged triller, white winged triller"
Masked woodswallow,Passeriformes,Artamidae,Artamus personatus,Vagrant,Native,http://nzbirdsonline.org.nz/species/masked-woodswallow,
White-browed woodswallow,Passeriformes,Artamidae,Artamus superciliosus,Vagrant,Native,http://nzbirdsonline.org.nz/species/white-browed-woodswallow,"whitebrowed woodswallow, white browed woodswallow"
Dusky woodswallow,Passeriformes,Artamidae,Artamus cyanopterus,Vagrant,Native,http://nzbirdsonline.org.nz/species/dusky-woodswallow,
Australian magpie | Makipai,Passeriformes,Artamidae,Gymnorhina tibicen,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/australian-magpie,"magpie, white-backed magpie, black-backed magpie, makipae"
New Zealand fantail | Pīwakawaka,Passeriformes,Rhipiduridae,Rhipidura fuliginosa,Not Threatened,Endemic,http://nzbirdsonline.org.nz/species/new-zealand-fantail,"fantail, piwakawaka, grey fantail, pied fantail, black fantail, tīrairaka, tirairaka"
Willie wagtail,Passeriformes,Rhipiduridae,Rhipidura leucophrys,Vagrant,Native,http://nzbirdsonline.org.nz/species/willie-wagtail,"water wagtail, black-and-white fantail, black-and-white flycatcher, pied fantail, white-browed fantail, fantail flycatcher, shepherd’s companion"
Satin flycatcher,Passeriformes,Monarchidae,Myiagra cyanoleuca,Vagrant,Native,http://nzbirdsonline.org.nz/species/satin-flycatcher,
Black-faced monarch,Passeriformes,Monarchidae,Monarcha melanopsis,Vagrant,Native,http://nzbirdsonline.org.nz/species/black-faced-monarch,"black-faced flycatcher, carinated flycatcher, pearly-winged flycatcher, black-faced monarch-flycatcher, grey-winged monarch-flycatcher, blackfaced monarch, black faced monarch"
Magpie-lark,Passeriformes,Monarchidae,Grallina cyanoleuca,Vagrant,Native,http://nzbirdsonline.org.nz/species/magpie-lark,"mudlark, peewee, peewit"
New Zealand raven,Passeriformes,Corvidae,Corvus moriorum,Extinct,Endemic,http://nzbirdsonline.org.nz/species/new-zealand-raven,Chatham Island raven
Rook,Passeriformes,Corvidae,Corvus frugilegus,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/rook,crow
Tomtit | Miromiro,Passeriformes,Petroicidae,Petroica macrocephala,Not Threatened,Endemic,http://nzbirdsonline.org.nz/species/tomtit,"New Zealand tomtit, pied tit, yellow-breasted tit, black tit, ngirungiru, pied tomtit, yellow-breasted tomtit, black tomtit, piropiro, maui-potiki"
Black robin | Karure,Passeriformes,Petroicidae,Petroica traversi,Nationally Critical,Endemic,http://nzbirdsonline.org.nz/species/black-robin,"Chatham Island black robin, Chatham Island robin, kakaruia"
North Island robin | Toutouwai,Passeriformes,Petroicidae,Petroica longipes,Declining,Endemic,http://nzbirdsonline.org.nz/species/north-island-robin,"New Zealand robin, bush robin"
South Island robin | Kakaruai,Passeriformes,Petroicidae,Petroica australis,Declining,Endemic,http://nzbirdsonline.org.nz/species/south-island-robin,"New Zealand robin, kakaruwai, kakariwai, toutouwai, bush robin"
Eurasian skylark | Kairaka,Passeriformes,Alaudidae,Alauda arvensis,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/eurasian-skylark,"skylark, kaireka, common skylark"
Australian reed warbler,Passeriformes,Acrocephalidae,Acrocephalus australis,Vagrant,Native,http://nzbirdsonline.org.nz/species/australian-reed-warbler,
Fernbird | Mātātā,Passeriformes,Locustellidae,Poodytes punctatus,Declining,Endemic,http://nzbirdsonline.org.nz/species/fernbird,"mātā, koroātito, matata, koroatito, utick"
Chatham Island fernbird,Passeriformes,Locustellidae,Poodytes rufescens,Extinct,Endemic,http://nzbirdsonline.org.nz/species/chatham-island-fernbird,
Welcome swallow | Warou,Passeriformes,Hirundinidae,Hirundo neoxena,Not Threatened,Native,http://nzbirdsonline.org.nz/species/welcome-swallow,house swallow
Fairy martin,Passeriformes,Hirundinidae,Petrochelidon ariel,Vagrant,Native,http://nzbirdsonline.org.nz/species/fairy-martin,"bottle swallow, cliff swallow, land swallow"
Tree martin,Passeriformes,Hirundinidae,Petrochelidon nigricans,Vagrant,Native,http://nzbirdsonline.org.nz/species/tree-martin,tree swallow
Silvereye | Tauhou,Passeriformes,Zosteropidae,Zosterops lateralis,Not Threatened,Native,http://nzbirdsonline.org.nz/species/silvereye,"waxeye, white-eye, blight-bird, silver-eye, wax-eye"
Common starling | Tāringi,Passeriformes,Sturnidae,Sturnus vulgaris,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/common-starling,"starling, European starling"
Common myna | Maina,Passeriformes,Sturnidae,Acridotheres tristis,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/common-myna,"myna, Indian myna, mynah"
Eurasian blackbird | Manu pango,Passeriformes,Turdidae,Turdus merula,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/eurasian-blackbird,"blackbird, common blackbird"
Song thrush | Manu-kai-hua-rakau,Passeriformes,Turdidae,Turdus philomelos,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/song-thrush,thrush
Dunnock,Passeriformes,Prunellidae,Prunella modularis,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/dunnock,"hedge sparrow, hedge accentor"
House sparrow | Tiu,Passeriformes,Passeridae,Passer domesticus,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/house-sparrow,English sparrow
New Zealand pipit | Pīhoihoi,Passeriformes,Motacillidae,Anthus novaeseelandiae,Naturally Uncommon,Endemic,http://nzbirdsonline.org.nz/species/new-zealand-pipit,"pipit, pihoihoi, Richard's pipit"
Chaffinch | Pahirini,Passeriformes,Fringillidae,Fringilla coelebs,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/chaffinch,common chaffinch
European greenfinch,Passeriformes,Fringillidae,Chloris chloris,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/european-greenfinch,"greenfinch, green linnet, greenie, green finch"
Common redpoll,Passeriformes,Fringillidae,Acanthis flammea,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/common-redpoll,redpoll
European goldfinch | Kōurarini,Passeriformes,Fringillidae,Carduelis carduelis,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/european-goldfinch,goldfinch
Yellowhammer | Hurukōwhai,Passeriformes,Emberizidae,Emberiza citrinella,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/yellowhammer,yellow bunting
Cirl bunting,Passeriformes,Emberizidae,Emberiza cirlus,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/cirl-bunting,
Red-vented bulbul,Passeriformes,Pycnonotidae,Pycnonotus cafer,"Introduced, not established","Introduced, not established",http://nzbirdsonline.org.nz/species/red-vented-bulbul,"Indian red-vented bulbul, common bulbul"
St Bathans kiwi,Casuariiformes,Apterygidae,Proapteryx micromeros,Extinct,Endemic,http://nzbirdsonline.org.nz/species/st-bathans-kiwi,
Marton kiwi,Apterygiformes,Apterygidae,Apteryx littoralis,Extinct,Endemic,http://nzbirdsonline.org.nz/species/marton-kiwi,
Manuherikia duck,Anseriformes,Anatidae,Manuherikia lacustrina,Extinct,Endemic,http://nzbirdsonline.org.nz/species/manuherikia-duck,
Minute Manuherikia duck,Anseriformes,Anatidae,Manuherikia minuta,Extinct,Endemic,http://nzbirdsonline.org.nz/species/minute-manuherikia-duck,
Douglas' duck,Anseriformes,Anatidae,Manuherikia douglasi,Extinct,Endemic,http://nzbirdsonline.org.nz/species/douglas-duck,"Douglas duck, Douglas's duck"
St Bathans diving duck,Anseriformes,Anatidae,Manuherikia primadividua,Extinct,Endemic,http://nzbirdsonline.org.nz/species/st-bathans-diving-duck,
Johnstones' duck,Anseriformes,Anatidae,Dunstanetta johnstoneorum,Extinct,Endemic,http://nzbirdsonline.org.nz/species/johnstones-duck,"Johnstones duck, Johnstone's duck"
St Bathans shelduck,Anseriformes,Anatidae,Miotadorna sanctibathansi,Extinct,Endemic,http://nzbirdsonline.org.nz/species/st-bathans-shelduck,"Saint Bathans shelduck, St Bathans duck"
Catriona's shelduck,Anseriformes,Anatidae,Miotadorna catrionae,Extinct,Endemic,http://nzbirdsonline.org.nz/species/catrionas-shelduck,
Enright's duck,Anseriformes,Anatidae,Matanas enrighti,Extinct,Endemic,http://nzbirdsonline.org.nz/species/enrights-duck,Enrights duck
Ruth’s pseudotoothed bird,Odontopterygiformes,Pelagornithidae,Protodontopteryx ruthae,Extinct,Endemic,http://nzbirdsonline.org.nz/species/ruths-pseudotoothed-bird,
Miocene pseudotoothed bird,Odontopterygiformes,Pelagornithidae,Pelagornis miocaenus,Extinct,Native,http://nzbirdsonline.org.nz/species/miocene-pseudotoothed-bird,Miocene false-toothed pelican
Stirton’s pseudotoothed bird,Odontopterygiformes,Pelagornithidae,Pelagornis stirtoni,Extinct,Endemic,http://nzbirdsonline.org.nz/species/stirton%E2%80%99s-pseudotoothed-bird,Stirton's false-toothed pelican
New Zealand palaelodus,Phoenicopteriformes,Palaelodidae,Palaelodus aotearoa,Extinct,Endemic,http://nzbirdsonline.org.nz/species/new-zealand-palaelodus,
Zealandian dove,Columbiformes,Columbidae,Deliaphaps zealandiensis,Extinct,Endemic,http://nzbirdsonline.org.nz/species/zealandian-dove,
St Bathans pigeon,Columbiformes,Columbidae,Rupephaps taketake,Extinct,Endemic,http://nzbirdsonline.org.nz/species/st-bathans-pigeon,Saint Bathans pigeon
St Bathans owlet-nightjar,Apodiformes,Aegothelidae,Aegotheles zealandivetus,Extinct,Endemic,http://nzbirdsonline.org.nz/species/st-bathans-owlet-nightjar,"St Bathans aegothelid, Saint Bathans owlet-nightjar, St Bathans owletnightjar, St Bathans owlet nightjar"
St Bathans swiftlet,Apodiformes,Apodidae,Collocalia sp-indet,Extinct,Native,http://nzbirdsonline.org.nz/species/st-bathans-swiftlet,Saint Bathans swiftlet
St Bathans adzebill,Gruiformes,Aptornithidae,Aptornis proasciarostratus,Extinct,Endemic,http://nzbirdsonline.org.nz/species/st-bathans-adzebill,Saint Bathans adzebill
Bannockburn crake,Gruiformes,Rallidae,Priscaweka parvales,Extinct,Endemic,http://nzbirdsonline.org.nz/species/bannockburn-crake,
Livezey’s rail,Gruiformes,Rallidae,Litorallus livezeyi,Extinct,Endemic,http://nzbirdsonline.org.nz/species/livezeys-rail,
Fleming's rail,Gruiformes,Rallidae,Pleistorallus flemingi,Extinct,Endemic,http://nzbirdsonline.org.nz/species/flemings-rail,Flemings rail
Sansom's plover,Charadriiformes,Incertae sedis,Neilus sansomae,Extinct,Endemic,http://nzbirdsonline.org.nz/species/sansoms-plover,
New Zealand lake-wanderer,Charadriiformes,Incertae sedis,Hakawai melvillei,Extinct,Endemic,http://nzbirdsonline.org.nz/species/new-zealand-lake-wanderer,
Mannering's penguin,Sphenisciformes,Incertae sedis,Waimanu manneringi,Extinct,Endemic,http://nzbirdsonline.org.nz/species/mannerings-penguin,Mannerings penguin
Waipara penguin,Sphenisciformes,Incertae sedis,Muriwaimanu tuatahi,Extinct,Endemic,http://nzbirdsonline.org.nz/species/waipara-penguin,
Rosie’s penguin,Sphenisciformes,Incertae sedis,Sequiwaimanu rosieae,Extinct,Endemic,http://nzbirdsonline.org.nz/species/rosie%E2%80%99s-penguin,
Stilwell’s penguin,Sphenisciformes,Incertae sedis,Kupoupou stilwelli,Extinct,Endemic,http://nzbirdsonline.org.nz/species/stilwell%E2%80%99s-penguin,
Waipara Crossvallia penguin,Sphenisciformes,Incertae sedis,Crossvallia waiparensis,Extinct,Endemic,http://nzbirdsonline.org.nz/species/waipara-crossvallia-penguin,
Bice's penguin,Sphenisciformes,Incertae sedis,Kuminanu biceae,Extinct,Endemic,http://nzbirdsonline.org.nz/species/bices-penguin,Colossal penguin
Maxwell's penguin,Sphenisciformes,Incertae sedis,Kaiika maxwelli,Extinct,Endemic,http://nzbirdsonline.org.nz/species/maxwells-penguin,Maxwells penguin
